INCI Name,한글성분명,CAS No.,제조회사,원산지,추출부위(추출물),유도부위 (캘러스),캘러스 원물 원산지,효능,기타
Glutathione,글루타치온,,"Wako Pure Chemical lndustries, Ltd.",Japan,,,,,~2021.05
Glycerin,글리세린,56-81-5,KLK OLEO (PALM-OLO SDN BHD),Plant (Malaysia),Palm,,,,
Glycine Max (Soybean) Phytoplacenta Extract,콩피토플라센타추출물,,"BIO-FD&C Co.,Ltd.",Plant - Phytoplacenta (South Korea),Phytoplacenta,,,,
Glycine Max (Soybean) Seed Extract,콩추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
Glycine Max (Soybean) Seed Extract,검정콩추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
Glycine Soja (Soybean) Oil,콩오일,,,Plant (South Korea),,,,,
Glycine Soja (Soybean) Seed Extract,돌콩추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
Glycine Soja (Soybean) Seed Extract,검정콩추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
Glycolic acid,글라이콜릭애씨드,,,Synthetic (South Korea),,,,,
Glycolic Acid,글라이콜릭애씨드,,모아캠,(South Korea),,,,,
Glycoproteins,글라이코프로테인,,DSM Nutritional Products Ltd. Branch Pentapharm,Synthetic (Switzerland),,,,,
Glycyrrhiza Glabra (Licorice) Root Extract,스페인감초뿌리추출물,84775-66-6 (generic) 68916-91-6 (generic) 97676-23-8(gener,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Root,,,,
Hamamelis Virginiana (Witch Hazel) Extract,위치하젤 추출물,,"BIO-FD&C Co.,Ltd.",Plant (U.S.A.),Leaves,,,,
Hedera Helix (Ivy) Extract,서양송악추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,,,,
Helianthus Annuus (Sunflower) Flower Extract,해바라기꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant,,,,,
Hibiscus Sabdariffa Flower Extract,히비스커스꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (France),Flower,,,,
Honey,꿀,,Comvita Limited (변경 가능),Animal (New Zealand) (변경 가능),Honey,,,,
Honey Extract,꿀추출물,91052-92-5,"BIO-FD&C Co.,Ltd.","Animal, Honey; Manuka Honey (New Zealand)",,,,,
Houttuynia Cordata Extract,어성초추출물,164288-50-0,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaves,,,,
Houttuynia Cordata Extract,약모밀추출물,164288-50-0,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Hyacinthus Orientalis (Hyacinth) Extract,히아신스전초추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,-,,,
Hyacinthus Orientalis (Hyacinth) Flower Extract,히아신스추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Flower,,,,
Hydrolyzed Collagen,하이드롤라이즈드콜라겐,,"GELTECH Co.,Ltd",Animal (South Korea),,,,,
Hydrolyzed Rye Phytoplacenta Extract,하이드롤라이즈드호밀피토플라센타추출물,,"BIO-FD&C Co.,Ltd.",Plant (원물은 Canada??) 추출물은 South Korea,,,,,
Hydroxyacetophenone,하이드록시아세토페논,,"Changzhou Huihe Chemicals Co, Ltd.",Synthetic (China),,,,,
Ilex Paraguariensis Leaf Extract,마테잎추출물,,"BIO-FD&C Co.,Ltd.",Plant (Argentina),Leaf,,,,
Inula Britannica Flower Extract,금불초꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),,,,,
Ipomoea Hederacea Callus Culture Extract,미국나팔꽃캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,Callus from the leaf,,,
Jasminum Officinale (Jasmine) Flower Extract,쟈스민꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),Flower,,,,
Korean red pine,소나무잎추출액,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),화장품원료 아님(세제원료),,,,
Lactobacillus/Aloe Barbadensis Ferment Filtrate,락토바실러스/알로에베라발효여과물,,"BIO-FD&C Co.,Ltd.",Plant/Bacteria (South Korea),,,,,
Laminaria Saccharina Extract,슈가켈프추출물,,"BIO-FD&C Co.,Ltd.",Plant (U.S.A.),Thallus,,,,
Lavandula Angustifolia (Lavender) Extract,라벤더추출물 (라벤더꽃추출물),84776-65-8 (generic),"BIO-FD&C Co.,Ltd.",Plant (France),Flower,,,,
Lavandula Angustifolia (Lavender) Flower Water,라벤더꽃수,미등록,"BIO-FD&C Co.,Ltd.",,Flower,-,,,
Lavandula Angustifolia (Lavender) Leaf Cell Extract,라벤더잎세포추출물,,"BIO-FD&C Co.,Ltd.",Plant,,,,,
